TDM,VN000000TDM3,BBG00CLB4K33,"39,35","34,25","36,80","37,20","36,85","0,05","0,14","36,70","37,20","36,85","3.282,00","12.095,14"
TDP,VN000000TDP6 ,BBG00MH6QRJ1,"27,15","23,65","25,40","25,20","25,20","-0,20","-0,79","25,20","25,20","25,20","4,00","10,08"
TDW,VN000000TDW2,BBG0016TLPP1,"40,65","35,35","38,00","0,00","0,00","-38,00","-100,00","0,00","0,00","0,00","0,00","0,00"
TEG,VN000000TEG3,BBG00BNVD569,"16,30","14,20","15,25","15,25","15,30","0,05","0,33","15,10","15,40","15,22","2.097,00","3.192,60"
TGG,VN000000TGG8,BBG00KXBGZ72,"28,05","24,45","26,25","28,00","25,00","-1,25","-4,76","25,00","28,05","27,42","14.362,00","39.382,33"
THG,VN000000THG6,BBG001XQ0HG8,"92,70","80,70","86,70","86,70","86,10","-0,60","-0,69","86,00","86,70","86,40","257,00","2.220,40"
THI,VN000000THI2,BBG00GGR5QS4,"30,25","26,35","28,30","28,10","28,00","-0,30","-1,06","28,00","28,10","28,01","19,00","53,21"
TIP,VN000000TIP5,BBG00CG5Y5W0,"54,30","47,25","50,80","51,10","51,20","0,40","0,79","50,80","51,70","51,05","1.035,00","5.283,77"
TIX,VN000000TIX9,BBG000PXMLY1,"39,15","34,05","36,60","37,70","37,05","0,45","1,23","36,60","37,70","36,98","142,00","525,11"
TLD,VN000000TLD5,BBG00JDRR4H8,"11,80","10,30","11,05","11,10","11,30","0,25","2,26","11,10","11,35","11,23","6.769,00","7.603,59"
TLG,VN000000TLG8,BBG000QBPNQ0,"50,10","43,65","46,90","45,75","47,00","0,10","0,21","45,75","47,20","47,01","431,00","2.026,03"
TLH,VN000000TLH6,BBG000QHNX96,"21,40","18,60","20,00","20,30","19,85","-0,15","-0,75","19,80","20,30","19,96","7.973,00","15.917,49"
TMP,VN000000TMP7,BBG000DBGXX4,"63,30","55,10","59,20","59,20","59,90","0,70","1,18","59,20","59,90","59,43","3,00","17,83"
TMS,VN000000TMS1,BBG000MB9N73,"95,20","82,80","89,00","89,00","89,70","0,70","0,79","88,50","90,00","89,00","105,00","934,55"
TMT,VN000000TMT9,BBG000Q6C334,"21,25","18,55","19,90","19,90","20,10","0,20","1,01","19,30","20,20","19,70","417,00","821,43"
TN1,VN000000TN14,BBG00NLC3782,"41,30","35,90","38,60","38,60","38,60","0,00","0,00","38,30","38,60","38,59","54,00","208,41"
TNA,VN000000TNA7,BBG000CXD179,"17,00","14,80","15,90","16,35","16,15","0,25","1,57","15,75","16,35","16,01","1.074,00","1.718,96"
TNC,VN000000TNC3,BBG000DW4B05,"46,00","40,00","43,00","40,20","40,60","-2,40","-5,58","40,20","46,00","43,15","22,00","94,94"
TNH,VN000000TNH2,BBG00YPRV2W4,"58,70","51,10","54,90","54,90","53,90","-1,00","-1,82","53,30","56,30","54,68","6.717,00","36.726,87"
TNI,VN000000TNI0,BBG00GBHZSF8,"9,27","8,07","8,67","8,77","8,70","0,03","0,35","8,47","8,77","8,65","10.992,00","9.506,78"
TNT,VN000000TNT7,BBG000QXTX77,"20,65","17,95","19,30","19,30","19,20","-0,10","-0,52","19,05","19,60","19,21","2.264,00","4.350,14"
TPB,VN000000TPB0,BBG00KFL4BS3,"42,50","37,00","39,75","40,05","39,60","-0,15","-0,38","39,60","40,40","39,99","31.313,00","125.213,11"
TPC,VN000000TPC8,BBG000BQFGH9,"11,05","9,63","10,35","10,60","10,55","0,20","1,93","10,55","10,80","10,70","51,00","54,57"
TRA,VN000000TRA8,BBG000JVVR33,"100,10","87,10","93,60","92,00","92,10","-1,50","-1,60","92,00","93,60","92,15","19,00","175,08"
TRC,VN000000TRC4,BBG000BYJ1C6,"51,10","44,50","47,80","47,00","48,50","0,70","1,46","47,00","48,50","47,81","161,00","769,70"
TSC,VN000000TSC2,BBG000TGKR64,"18,65","16,25","17,45","17,55","17,00","-0,45","-2,58","17,00","17,65","17,29","42.442,00","73.389,83"
TTA,VN000000TTA4,BBG00WWCQWC5 ,"16,40","14,30","15,35","15,35","15,40","0,05","0,33","15,35","15,55","15,40","3.151,00","4.852,75"
TTB,VN000000TTB2,BBG007YXYQQ1,"13,15","11,45","12,30","12,70","12,40","0,10","0,81","12,30","13,15","12,76","46.471,00","59.306,09"
TTE,VN000000TTE6,BBG00MNX51V1,"17,20","15,00","16,10","15,05","16,50","0,40","2,48","15,05","17,00","16,15","23,00","37,15"
TTF,VN000000TTF3,BBG000TFT0R3,"18,15","15,85","17,00","17,40","16,85","-0,15","-0,88","16,80","17,40","16,98","66.515,00","112.933,33"
TV2,VN000000TV22,BBG000PMVHJ1,"67,10","58,50","62,80","63,00","61,50","-1,30","-2,07","60,90","63,00","61,37","2.695,00","16.539,27"
TVB,VN000000TVB8,BBG009DCDKK8,"23,45","20,45","21,95","22,20","22,10","0,15","0,68","21,90","22,20","22,04","13.278,00","29.266,85"
TVS,VN000000TVS2,BBG007TK6KJ7,"48,35","42,05","45,20","46,00","46,05","0,85","1,88","46,00","46,90","46,34","819,00","3.795,37"
TVT,VN000000TVT0,BBG00H2CNJ06,"32,70","28,50","30,60","29,95","30,30","-0,30","-0,98","29,00","30,40","29,53","86,00","253,96"
TYA,VN000000TYA4,BBG000DCXFT7,"21,15","18,45","19,80","19,50","19,80","0,00","0,00","19,50","19,80","19,63","80,00","157,03"
UDC,VN000000UDC2,BBG000R4BZZ3,"13,30","11,60","12,45","12,45","12,35","-0,10","-0,80","11,90","12,65","12,43","849,00","1.055,24"
UIC,VN000000UIC1,BBG000TW05T4,"61,90","53,90","57,90","57,60","58,30","0,40","0,69","57,60","58,30","57,73","16,00","92,36"
VAF,VN000000VAF9,BBG009BCLYM9,"17,85","15,55","16,70","16,00","16,00","-0,70","-4,19","15,55","16,70","15,93","294,00","468,40"
VCA,VN000000VCA6,BBG000TRCXM8,"18,15","15,85","17,00","17,15","17,20","0,20","1,18","17,00","17,20","17,10","41,00","70,10"
